ptr_nvnDeviceBuilderSetDefaults 0x7102984970
ptr_nvnDeviceBuilderSetFlags 0x7102984978
ptr_nvnDeviceInitialize 0x7102984980
ptr_nvnDeviceFinalize 0x7102984988
ptr_nvnDeviceSetDebugLabel 0x7102984990
ptr_nvnDeviceGetProcAddress 0x7102984998
ptr_nvnDeviceGetInteger 0x71029849a0
ptr_nvnDeviceGetCurrentTimestampInNanoseconds 0x71029849a8
ptr_nvnDeviceSetIntermediateShaderCache 0x71029849b0
ptr_nvnDeviceGetTextureHandle 0x71029849b8
ptr_nvnDeviceGetTexelFetchHandle 0x71029849c0
ptr_nvnDeviceGetImageHandle 0x71029849c8
ptr_nvnDeviceInstallDebugCallback 0x71029849d0
ptr_nvnDeviceSetWindowOriginMode 0x71029849d8
ptr_nvnDeviceSetDepthMode 0x71029849e0
ptr_nvnDeviceRegisterFastClearColor 0x71029849e8
ptr_nvnDeviceRegisterFastClearColori 0x71029849f0
ptr_nvnDeviceRegisterFastClearColorui 0x71029849f8
ptr_nvnDeviceRegisterFastClearDepth 0x7102984a00
ptr_nvnDeviceGetWindowOriginMode 0x7102984a08
ptr_nvnDeviceGetDepthMode 0x7102984a10
ptr_nvnDeviceGetTimestampInNanoseconds 0x7102984a18
ptr_nvnDeviceApplyDeferredFinalizes 0x7102984a20
ptr_nvnDeviceFinalizeCommandHandle 0x7102984a28
ptr_nvnDeviceWaitForError 0x7102984a30
ptr_nvnQueueGetError 0x7102984a38
ptr_nvnQueueGetTotalCommandMemoryUsed 0x7102984a40
ptr_nvnQueueGetTotalControlMemoryUsed 0x7102984a48
ptr_nvnQueueGetTotalComputeMemoryUsed 0x7102984a50
ptr_nvnQueueResetMemoryUsageCounts 0x7102984a58
ptr_nvnQueueBuilderSetDevice 0x7102984a60
ptr_nvnQueueBuilderSetDefaults 0x7102984a68
ptr_nvnQueueBuilderSetFlags 0x7102984a70
ptr_nvnQueueBuilderSetCommandMemorySize 0x7102984a78
ptr_nvnQueueBuilderSetComputeMemorySize 0x7102984a80
ptr_nvnQueueBuilderSetControlMemorySize 0x7102984a88
ptr_nvnQueueBuilderGetQueueMemorySize 0x7102984a90
ptr_nvnQueueBuilderSetQueueMemory 0x7102984a98
ptr_nvnQueueBuilderSetCommandFlushThreshold 0x7102984aa0
ptr_nvnQueueInitialize 0x7102984aa8
ptr_nvnQueueFinalize 0x7102984ab0
ptr_nvnQueueSetDebugLabel 0x7102984ab8
ptr_nvnQueueSubmitCommands 0x7102984ac0
ptr_nvnQueueFlush 0x7102984ac8
ptr_nvnQueueFinish 0x7102984ad0
ptr_nvnQueuePresentTexture 0x7102984ad8
ptr_nvnQueueAcquireTexture 0x7102984ae0
ptr_nvnWindowBuilderSetDevice 0x7102984ae8
ptr_nvnWindowBuilderSetDefaults 0x7102984af0
ptr_nvnWindowBuilderSetNativeWindow 0x7102984af8
ptr_nvnWindowBuilderSetTextures 0x7102984b00
ptr_nvnWindowBuilderSetPresentInterval 0x7102984b08
ptr_nvnWindowBuilderGetNativeWindow 0x7102984b10
ptr_nvnWindowBuilderGetPresentInterval 0x7102984b18
ptr_nvnWindowInitialize 0x7102984b20
ptr_nvnWindowFinalize 0x7102984b28
ptr_nvnWindowSetDebugLabel 0x7102984b30
ptr_nvnWindowAcquireTexture 0x7102984b38
ptr_nvnWindowGetNativeWindow 0x7102984b40
ptr_nvnWindowGetPresentInterval 0x7102984b48
ptr_nvnWindowSetPresentInterval 0x7102984b50
ptr_nvnWindowSetCrop 0x7102984b58
ptr_nvnWindowGetCrop 0x7102984b60
ptr_nvnProgramInitialize 0x7102984b68
ptr_nvnProgramFinalize 0x7102984b70
ptr_nvnProgramSetDebugLabel 0x7102984b78
ptr_nvnProgramSetShaders 0x7102984b80
ptr_nvnMemoryPoolBuilderSetDevice 0x7102984b88
ptr_nvnMemoryPoolBuilderSetDefaults 0x7102984b90
ptr_nvnMemoryPoolBuilderSetStorage 0x7102984b98
ptr_nvnMemoryPoolBuilderSetFlags 0x7102984ba0
ptr_nvnMemoryPoolBuilderGetMemory 0x7102984ba8
ptr_nvnMemoryPoolBuilderGetSize 0x7102984bb0
ptr_nvnMemoryPoolBuilderGetFlags 0x7102984bb8
ptr_nvnMemoryPoolInitialize 0x7102984bc0
ptr_nvnMemoryPoolSetDebugLabel 0x7102984bc8
ptr_nvnMemoryPoolFinalize 0x7102984bd0
ptr_nvnMemoryPoolMap 0x7102984bd8
ptr_nvnMemoryPoolFlushMappedRange 0x7102984be0
ptr_nvnMemoryPoolInvalidateMappedRange 0x7102984be8
ptr_nvnMemoryPoolGetBufferAddress 0x7102984bf0
ptr_nvnMemoryPoolMapVirtual 0x7102984bf8
ptr_nvnMemoryPoolGetSize 0x7102984c00
ptr_nvnMemoryPoolGetFlags 0x7102984c08
ptr_nvnTexturePoolInitialize 0x7102984c10
ptr_nvnTexturePoolSetDebugLabel 0x7102984c18
ptr_nvnTexturePoolFinalize 0x7102984c20
ptr_nvnTexturePoolRegisterTexture 0x7102984c28
ptr_nvnTexturePoolRegisterImage 0x7102984c30
ptr_nvnTexturePoolGetMemoryPool 0x7102984c38
ptr_nvnTexturePoolGetMemoryOffset 0x7102984c40
ptr_nvnTexturePoolGetSize 0x7102984c48
ptr_nvnSamplerPoolInitialize 0x7102984c50
ptr_nvnSamplerPoolSetDebugLabel 0x7102984c58
ptr_nvnSamplerPoolFinalize 0x7102984c60
ptr_nvnSamplerPoolRegisterSampler 0x7102984c68
ptr_nvnSamplerPoolRegisterSamplerBuilder 0x7102984c70
ptr_nvnSamplerPoolGetMemoryPool 0x7102984c78
ptr_nvnSamplerPoolGetMemoryOffset 0x7102984c80
ptr_nvnSamplerPoolGetSize 0x7102984c88
ptr_nvnBufferBuilderSetDevice 0x7102984c90
ptr_nvnBufferBuilderSetDefaults 0x7102984c98
ptr_nvnBufferBuilderSetStorage 0x7102984ca0
ptr_nvnBufferBuilderGetMemoryPool 0x7102984ca8
ptr_nvnBufferBuilderGetMemoryOffset 0x7102984cb0
ptr_nvnBufferBuilderGetSize 0x7102984cb8
ptr_nvnBufferInitialize 0x7102984cc0
ptr_nvnBufferSetDebugLabel 0x7102984cc8
ptr_nvnBufferFinalize 0x7102984cd0
ptr_nvnBufferMap 0x7102984cd8
ptr_nvnBufferGetAddress 0x7102984ce0
ptr_nvnBufferFlushMappedRange 0x7102984ce8
ptr_nvnBufferInvalidateMappedRange 0x7102984cf0
ptr_nvnBufferGetMemoryPool 0x7102984cf8
ptr_nvnBufferGetMemoryOffset 0x7102984d00
ptr_nvnBufferGetSize 0x7102984d08
ptr_nvnBufferGetDebugID 0x7102984d10
ptr_nvnTextureBuilderSetDevice 0x7102984d18
ptr_nvnTextureBuilderSetDefaults 0x7102984d20
ptr_nvnTextureBuilderSetFlags 0x7102984d28
ptr_nvnTextureBuilderSetTarget 0x7102984d30
ptr_nvnTextureBuilderSetWidth 0x7102984d38
ptr_nvnTextureBuilderSetHeight 0x7102984d40
ptr_nvnTextureBuilderSetDepth 0x7102984d48
ptr_nvnTextureBuilderSetSize1D 0x7102984d50
ptr_nvnTextureBuilderSetSize2D 0x7102984d58
ptr_nvnTextureBuilderSetSize3D 0x7102984d60
ptr_nvnTextureBuilderSetLevels 0x7102984d68
ptr_nvnTextureBuilderSetFormat 0x7102984d70
ptr_nvnTextureBuilderSetSamples 0x7102984d78
ptr_nvnTextureBuilderSetSwizzle 0x7102984d80
ptr_nvnTextureBuilderSetDepthStencilMode 0x7102984d88
ptr_nvnTextureBuilderGetStorageSize 0x7102984d90
ptr_nvnTextureBuilderGetStorageAlignment 0x7102984d98
ptr_nvnTextureBuilderSetStorage 0x7102984da0
ptr_nvnTextureBuilderSetPackagedTextureData 0x7102984da8
ptr_nvnTextureBuilderSetPackagedTextureLayout 0x7102984db0
ptr_nvnTextureBuilderSetStride 0x7102984db8
ptr_nvnTextureBuilderSetGLTextureName 0x7102984dc0
ptr_nvnTextureBuilderGetStorageClass 0x7102984dc8
ptr_nvnTextureBuilderGetFlags 0x7102984dd0
ptr_nvnTextureBuilderGetTarget 0x7102984dd8
ptr_nvnTextureBuilderGetWidth 0x7102984de0
ptr_nvnTextureBuilderGetHeight 0x7102984de8
ptr_nvnTextureBuilderGetDepth 0x7102984df0
ptr_nvnTextureBuilderGetLevels 0x7102984df8
ptr_nvnTextureBuilderGetFormat 0x7102984e00
ptr_nvnTextureBuilderGetSamples 0x7102984e08
ptr_nvnTextureBuilderGetSwizzle 0x7102984e10
ptr_nvnTextureBuilderGetDepthStencilMode 0x7102984e18
ptr_nvnTextureBuilderGetPackagedTextureData 0x7102984e20
ptr_nvnTextureBuilderGetStride 0x7102984e28
ptr_nvnTextureBuilderGetSparseTileLayout 0x7102984e30
ptr_nvnTextureBuilderGetGLTextureName 0x7102984e38
ptr_nvnTextureBuilderGetZCullStorageSize 0x7102984e40
ptr_nvnTextureBuilderGetMemoryPool 0x7102984e48
ptr_nvnTextureBuilderGetMemoryOffset 0x7102984e50
ptr_nvnTextureViewSetDefaults 0x7102984e58
ptr_nvnTextureViewSetLevels 0x7102984e60
ptr_nvnTextureViewSetLayers 0x7102984e68
ptr_nvnTextureViewSetFormat 0x7102984e70
ptr_nvnTextureViewSetSwizzle 0x7102984e78
ptr_nvnTextureViewSetDepthStencilMode 0x7102984e80
ptr_nvnTextureViewSetTarget 0x7102984e88
ptr_nvnTextureViewGetLevels 0x7102984e90
ptr_nvnTextureViewGetLayers 0x7102984e98
ptr_nvnTextureViewGetFormat 0x7102984ea0
ptr_nvnTextureViewGetSwizzle 0x7102984ea8
ptr_nvnTextureViewGetDepthStencilMode 0x7102984eb0
ptr_nvnTextureViewGetTarget 0x7102984eb8
ptr_nvnTextureViewCompare 0x7102984ec0
ptr_nvnTextureInitialize 0x7102984ec8
ptr_nvnTextureGetZCullStorageSize 0x7102984ed0
ptr_nvnTextureFinalize 0x7102984ed8
ptr_nvnTextureSetDebugLabel 0x7102984ee0
