ptr_nvnDeviceBuilderSetDefaults 0x7104de1c40
ptr_nvnDeviceBuilderSetFlags 0x7104de1c48
ptr_nvnDeviceBuilderGetFlags 0x7104de1c50
ptr_nvnDeviceInitialize 0x7104de1c58
ptr_nvnDeviceFinalize 0x7104de1c60
ptr_nvnDeviceSetDebugLabel 0x7104de1c68
ptr_nvnDeviceGetProcAddress 0x7104de1c70
ptr_nvnDeviceGetInteger 0x7104de1c78
ptr_nvnDeviceGetCurrentTimestampInNanoseconds 0x7104de1c80
ptr_nvnDeviceSetIntermediateShaderCache 0x7104de1c88
ptr_nvnDeviceGetTextureHandle 0x7104de1c90
ptr_nvnDeviceGetTexelFetchHandle 0x7104de1c98
ptr_nvnDeviceGetImageHandle 0x7104de1ca0
ptr_nvnDeviceInstallDebugCallback 0x7104de1ca8
ptr_nvnDeviceGenerateDebugDomainId 0x7104de1cb0
ptr_nvnDeviceSetWindowOriginMode 0x7104de1cb8
ptr_nvnDeviceSetDepthMode 0x7104de1cc0
ptr_nvnDeviceRegisterFastClearColor 0x7104de1cc8
ptr_nvnDeviceRegisterFastClearColori 0x7104de1cd0
ptr_nvnDeviceRegisterFastClearColorui 0x7104de1cd8
ptr_nvnDeviceRegisterFastClearDepth 0x7104de1ce0
ptr_nvnDeviceGetWindowOriginMode 0x7104de1ce8
ptr_nvnDeviceGetDepthMode 0x7104de1cf0
ptr_nvnDeviceGetTimestampInNanoseconds 0x7104de1cf8
ptr_nvnDeviceApplyDeferredFinalizes 0x7104de1d00
ptr_nvnDeviceFinalizeCommandHandle 0x7104de1d08
ptr_nvnDeviceWalkDebugDatabase 0x7104de1d10
ptr_nvnDeviceGetSeparateTextureHandle 0x7104de1d18
ptr_nvnDeviceGetSeparateSamplerHandle 0x7104de1d20
ptr_nvnDeviceIsExternalDebuggerAttached 0x7104de1d28
ptr_nvnQueueGetError 0x7104de1d30
ptr_nvnQueueGetTotalCommandMemoryUsed 0x7104de1d38
ptr_nvnQueueGetTotalControlMemoryUsed 0x7104de1d40
ptr_nvnQueueGetTotalComputeMemoryUsed 0x7104de1d48
ptr_nvnQueueResetMemoryUsageCounts 0x7104de1d50
ptr_nvnQueueBuilderSetDevice 0x7104de1d58
ptr_nvnQueueBuilderSetDefaults 0x7104de1d60
ptr_nvnQueueBuilderSetFlags 0x7104de1d68
ptr_nvnQueueBuilderSetCommandMemorySize 0x7104de1d70
ptr_nvnQueueBuilderSetComputeMemorySize 0x7104de1d78
ptr_nvnQueueBuilderSetControlMemorySize 0x7104de1d80
ptr_nvnQueueBuilderGetQueueMemorySize 0x7104de1d88
ptr_nvnQueueBuilderSetQueueMemory 0x7104de1d90
ptr_nvnQueueBuilderSetCommandFlushThreshold 0x7104de1d98
ptr_nvnQueueBuilderSetQueuePriority 0x7104de1da0
ptr_nvnQueueBuilderGetQueuePriority 0x7104de1da8
ptr_nvnQueueBuilderGetDevice 0x7104de1db0
ptr_nvnQueueBuilderGetFlags 0x7104de1db8
ptr_nvnQueueBuilderGetCommandMemorySize 0x7104de1dc0
ptr_nvnQueueBuilderGetComputeMemorySize 0x7104de1dc8
ptr_nvnQueueBuilderGetControlMemorySize 0x7104de1dd0
ptr_nvnQueueBuilderGetCommandFlushThreshold 0x7104de1dd8
ptr_nvnQueueBuilderGetMemorySize 0x7104de1de0
ptr_nvnQueueBuilderGetMemory 0x7104de1de8
ptr_nvnQueueInitialize 0x7104de1df0
ptr_nvnQueueFinalize 0x7104de1df8
ptr_nvnQueueSetDebugLabel 0x7104de1e00
ptr_nvnQueueSubmitCommands 0x7104de1e08
ptr_nvnQueueFlush 0x7104de1e10
ptr_nvnQueueFinish 0x7104de1e18
ptr_nvnQueuePresentTexture 0x7104de1e20
ptr_nvnQueueAcquireTexture 0x7104de1e28
ptr_nvnWindowBuilderSetDevice 0x7104de1e30
ptr_nvnWindowBuilderSetDefaults 0x7104de1e38
ptr_nvnWindowBuilderSetNativeWindow 0x7104de1e40
ptr_nvnWindowBuilderSetTextures 0x7104de1e48
ptr_nvnWindowBuilderSetPresentInterval 0x7104de1e50
ptr_nvnWindowBuilderSetNumActiveTextures 0x7104de1e58
ptr_nvnWindowBuilderGetDevice 0x7104de1e60
ptr_nvnWindowBuilderGetNumTextures 0x7104de1e68
ptr_nvnWindowBuilderGetTexture 0x7104de1e70
ptr_nvnWindowBuilderGetNativeWindow 0x7104de1e78
ptr_nvnWindowBuilderGetPresentInterval 0x7104de1e80
ptr_nvnWindowBuilderGetNumActiveTextures 0x7104de1e88
ptr_nvnWindowInitialize 0x7104de1e90
ptr_nvnWindowFinalize 0x7104de1e98
ptr_nvnWindowSetDebugLabel 0x7104de1ea0
ptr_nvnWindowAcquireTexture 0x7104de1ea8
ptr_nvnWindowGetNativeWindow 0x7104de1eb0
ptr_nvnWindowGetPresentInterval 0x7104de1eb8
ptr_nvnWindowSetPresentInterval 0x7104de1ec0
ptr_nvnWindowSetCrop 0x7104de1ec8
ptr_nvnWindowGetCrop 0x7104de1ed0
ptr_nvnWindowSetNumActiveTextures 0x7104de1ed8
ptr_nvnWindowGetNumActiveTextures 0x7104de1ee0
ptr_nvnWindowGetNumTextures 0x7104de1ee8
ptr_nvnProgramInitialize 0x7104de1ef0
ptr_nvnProgramFinalize 0x7104de1ef8
ptr_nvnProgramSetDebugLabel 0x7104de1f00
ptr_nvnProgramSetShaders 0x7104de1f08
ptr_nvnProgramSetShadersExt 0x7104de1f10
ptr_nvnProgramSetSampleShading 0x7104de1f18
ptr_nvnMemoryPoolBuilderSetDevice 0x7104de1f20
ptr_nvnMemoryPoolBuilderSetDefaults 0x7104de1f28
ptr_nvnMemoryPoolBuilderSetStorage 0x7104de1f30
ptr_nvnMemoryPoolBuilderSetFlags 0x7104de1f38
ptr_nvnMemoryPoolBuilderGetDevice 0x7104de1f40
ptr_nvnMemoryPoolBuilderGetMemory 0x7104de1f48
ptr_nvnMemoryPoolBuilderGetSize 0x7104de1f50
ptr_nvnMemoryPoolBuilderGetFlags 0x7104de1f58
ptr_nvnMemoryPoolInitialize 0x7104de1f60
ptr_nvnMemoryPoolSetDebugLabel 0x7104de1f68
ptr_nvnMemoryPoolFinalize 0x7104de1f70
ptr_nvnMemoryPoolMap 0x7104de1f78
ptr_nvnMemoryPoolFlushMappedRange 0x7104de1f80
