ptr_nvnDeviceBuilderSetDefaults 0x7102516ce8
ptr_nvnDeviceBuilderSetFlags 0x7102516cf0
ptr_nvnDeviceInitialize 0x7102516cf8
ptr_nvnDeviceFinalize 0x7102516d00
ptr_nvnDeviceSetDebugLabel 0x7102516d08
ptr_nvnDeviceGetProcAddress 0x7102516d10
ptr_nvnDeviceGetInteger 0x7102516d18
ptr_nvnDeviceGetCurrentTimestampInNanoseconds 0x7102516d20
ptr_nvnDeviceSetIntermediateShaderCache 0x7102516d28
ptr_nvnDeviceGetTextureHandle 0x7102516d30
ptr_nvnDeviceGetTexelFetchHandle 0x7102516d38
ptr_nvnDeviceGetImageHandle 0x7102516d40
ptr_nvnDeviceInstallDebugCallback 0x7102516d48
ptr_nvnDeviceGenerateDebugDomainId 0x7102516d50
ptr_nvnDeviceSetWindowOriginMode 0x7102516d58
ptr_nvnDeviceSetDepthMode 0x7102516d60
ptr_nvnDeviceRegisterFastClearColor 0x7102516d68
ptr_nvnDeviceRegisterFastClearColori 0x7102516d70
ptr_nvnDeviceRegisterFastClearColorui 0x7102516d78
ptr_nvnDeviceRegisterFastClearDepth 0x7102516d80
ptr_nvnDeviceGetWindowOriginMode 0x7102516d88
ptr_nvnDeviceGetDepthMode 0x7102516d90
ptr_nvnDeviceGetTimestampInNanoseconds 0x7102516d98
ptr_nvnDeviceApplyDeferredFinalizes 0x7102516da0
ptr_nvnDeviceFinalizeCommandHandle 0x7102516da8
ptr_nvnDeviceWalkDebugDatabase 0x7102516db0
ptr_nvnDeviceGetSeparateTextureHandle 0x7102516db8
ptr_nvnDeviceGetSeparateSamplerHandle 0x7102516dc0
ptr_nvnDeviceIsExternalDebuggerAttached 0x7102516dc8
ptr_nvnQueueGetError 0x7102516dd0
ptr_nvnQueueGetTotalCommandMemoryUsed 0x7102516dd8
ptr_nvnQueueGetTotalControlMemoryUsed 0x7102516de0
ptr_nvnQueueGetTotalComputeMemoryUsed 0x7102516de8
ptr_nvnQueueResetMemoryUsageCounts 0x7102516df0
ptr_nvnQueueBuilderSetDevice 0x7102516df8
ptr_nvnQueueBuilderSetDefaults 0x7102516e00
ptr_nvnQueueBuilderSetFlags 0x7102516e08
ptr_nvnQueueBuilderSetCommandMemorySize 0x7102516e10
ptr_nvnQueueBuilderSetComputeMemorySize 0x7102516e18
ptr_nvnQueueBuilderSetControlMemorySize 0x7102516e20
ptr_nvnQueueBuilderGetQueueMemorySize 0x7102516e28
ptr_nvnQueueBuilderSetQueueMemory 0x7102516e30
ptr_nvnQueueBuilderSetCommandFlushThreshold 0x7102516e38
ptr_nvnQueueInitialize 0x7102516e40
ptr_nvnQueueFinalize 0x7102516e48
ptr_nvnQueueSetDebugLabel 0x7102516e50
ptr_nvnQueueSubmitCommands 0x7102516e58
ptr_nvnQueueFlush 0x7102516e60
ptr_nvnQueueFinish 0x7102516e68
ptr_nvnQueuePresentTexture 0x7102516e70
ptr_nvnQueueAcquireTexture 0x7102516e78
ptr_nvnWindowBuilderSetDevice 0x7102516e80
ptr_nvnWindowBuilderSetDefaults 0x7102516e88
ptr_nvnWindowBuilderSetNativeWindow 0x7102516e90
ptr_nvnWindowBuilderSetTextures 0x7102516e98
ptr_nvnWindowBuilderSetPresentInterval 0x7102516ea0
ptr_nvnWindowBuilderGetNativeWindow 0x7102516ea8
ptr_nvnWindowBuilderGetPresentInterval 0x7102516eb0
ptr_nvnWindowInitialize 0x7102516eb8
ptr_nvnWindowFinalize 0x7102516ec0
ptr_nvnWindowSetDebugLabel 0x7102516ec8
ptr_nvnWindowAcquireTexture 0x7102516ed0
ptr_nvnWindowGetNativeWindow 0x7102516ed8
ptr_nvnWindowGetPresentInterval 0x7102516ee0
ptr_nvnWindowSetPresentInterval 0x7102516ee8
ptr_nvnWindowSetCrop 0x7102516ef0
ptr_nvnWindowGetCrop 0x7102516ef8
ptr_nvnProgramInitialize 0x7102516f00
ptr_nvnProgramFinalize 0x7102516f08
ptr_nvnProgramSetDebugLabel 0x7102516f10
ptr_nvnProgramSetShaders 0x7102516f18
ptr_nvnMemoryPoolBuilderSetDevice 0x7102516f20
ptr_nvnMemoryPoolBuilderSetDefaults 0x7102516f28
ptr_nvnMemoryPoolBuilderSetStorage 0x7102516f30
ptr_nvnMemoryPoolBuilderSetFlags 0x7102516f38
ptr_nvnMemoryPoolBuilderGetMemory 0x7102516f40
ptr_nvnMemoryPoolBuilderGetSize 0x7102516f48
ptr_nvnMemoryPoolBuilderGetFlags 0x7102516f50
ptr_nvnMemoryPoolInitialize 0x7102516f58
ptr_nvnMemoryPoolSetDebugLabel 0x7102516f60
ptr_nvnMemoryPoolFinalize 0x7102516f68
ptr_nvnMemoryPoolMap 0x7102516f70
ptr_nvnMemoryPoolFlushMappedRange 0x7102516f78
ptr_nvnMemoryPoolInvalidateMappedRange 0x7102516f80
ptr_nvnMemoryPoolGetBufferAddress 0x7102516f88
ptr_nvnMemoryPoolMapVirtual 0x7102516f90
ptr_nvnMemoryPoolGetSize 0x7102516f98
ptr_nvnMemoryPoolGetFlags 0x7102516fa0
ptr_nvnTexturePoolInitialize 0x7102516fa8
ptr_nvnTexturePoolSetDebugLabel 0x7102516fb0
ptr_nvnTexturePoolFinalize 0x7102516fb8
ptr_nvnTexturePoolRegisterTexture 0x7102516fc0
ptr_nvnTexturePoolRegisterImage 0x7102516fc8
ptr_nvnTexturePoolGetMemoryPool 0x7102516fd0
ptr_nvnTexturePoolGetMemoryOffset 0x7102516fd8
ptr_nvnTexturePoolGetSize 0x7102516fe0
ptr_nvnSamplerPoolInitialize 0x7102516fe8
ptr_nvnSamplerPoolSetDebugLabel 0x7102516ff0
ptr_nvnSamplerPoolFinalize 0x7102516ff8
ptr_nvnSamplerPoolRegisterSampler 0x7102517000
ptr_nvnSamplerPoolRegisterSamplerBuilder 0x7102517008
ptr_nvnSamplerPoolGetMemoryPool 0x7102517010
ptr_nvnSamplerPoolGetMemoryOffset 0x7102517018
ptr_nvnSamplerPoolGetSize 0x7102517020
ptr_nvnBufferBuilderSetDevice 0x7102517028
ptr_nvnBufferBuilderSetDefaults 0x7102517030
ptr_nvnBufferBuilderSetStorage 0x7102517038
ptr_nvnBufferBuilderGetMemoryPool 0x7102517040
ptr_nvnBufferBuilderGetMemoryOffset 0x7102517048
ptr_nvnBufferBuilderGetSize 0x7102517050
ptr_nvnBufferInitialize 0x7102517058
ptr_nvnBufferSetDebugLabel 0x7102517060
ptr_nvnBufferFinalize 0x7102517068
ptr_nvnBufferMap 0x7102517070
ptr_nvnBufferGetAddress 0x7102517078
ptr_nvnBufferFlushMappedRange 0x7102517080
ptr_nvnBufferInvalidateMappedRange 0x7102517088
ptr_nvnBufferGetMemoryPool 0x7102517090
ptr_nvnBufferGetMemoryOffset 0x7102517098
ptr_nvnBufferGetSize 0x71025170a0
ptr_nvnBufferGetDebugID 0x71025170a8
ptr_nvnTextureBuilderSetDevice 0x71025170b0
ptr_nvnTextureBuilderSetDefaults 0x71025170b8
ptr_nvnTextureBuilderSetFlags 0x71025170c0
ptr_nvnTextureBuilderSetTarget 0x71025170c8
ptr_nvnTextureBuilderSetWidth 0x71025170d0
ptr_nvnTextureBuilderSetHeight 0x71025170d8
ptr_nvnTextureBuilderSetDepth 0x71025170e0
ptr_nvnTextureBuilderSetSize1D 0x71025170e8
ptr_nvnTextureBuilderSetSize2D 0x71025170f0
ptr_nvnTextureBuilderSetSize3D 0x71025170f8
ptr_nvnTextureBuilderSetLevels 0x7102517100
ptr_nvnTextureBuilderSetFormat 0x7102517108
ptr_nvnTextureBuilderSetSamples 0x7102517110
ptr_nvnTextureBuilderSetSwizzle 0x7102517118
ptr_nvnTextureBuilderSetDepthStencilMode 0x7102517120
ptr_nvnTextureBuilderGetStorageSize 0x7102517128
ptr_nvnTextureBuilderGetStorageAlignment 0x7102517130
ptr_nvnTextureBuilderSetStorage 0x7102517138
ptr_nvnTextureBuilderSetPackagedTextureData 0x7102517140
ptr_nvnTextureBuilderSetPackagedTextureLayout 0x7102517148
ptr_nvnTextureBuilderSetStride 0x7102517150
ptr_nvnTextureBuilderSetGLTextureName 0x7102517158
ptr_nvnTextureBuilderGetStorageClass 0x7102517160
ptr_nvnTextureBuilderGetFlags 0x7102517168
ptr_nvnTextureBuilderGetTarget 0x7102517170
ptr_nvnTextureBuilderGetWidth 0x7102517178
ptr_nvnTextureBuilderGetHeight 0x7102517180
ptr_nvnTextureBuilderGetDepth 0x7102517188
ptr_nvnTextureBuilderGetLevels 0x7102517190
ptr_nvnTextureBuilderGetFormat 0x7102517198
ptr_nvnTextureBuilderGetSamples 0x71025171a0
ptr_nvnTextureBuilderGetSwizzle 0x71025171a8
ptr_nvnTextureBuilderGetDepthStencilMode 0x71025171b0
ptr_nvnTextureBuilderGetPackagedTextureData 0x71025171b8
ptr_nvnTextureBuilderGetStride 0x71025171c0
ptr_nvnTextureBuilderGetSparseTileLayout 0x71025171c8
ptr_nvnTextureBuilderGetGLTextureName 0x71025171d0
ptr_nvnTextureBuilderGetZCullStorageSize 0x71025171d8
ptr_nvnTextureBuilderGetMemoryPool 0x71025171e0
ptr_nvnTextureBuilderGetMemoryOffset 0x71025171e8
ptr_nvnTextureViewSetDefaults 0x71025171f0
ptr_nvnTextureViewSetLevels 0x71025171f8
ptr_nvnTextureViewSetLayers 0x7102517200
ptr_nvnTextureViewSetFormat 0x7102517208
ptr_nvnTextureViewSetSwizzle 0x7102517210
ptr_nvnTextureViewSetDepthStencilMode 0x7102517218
ptr_nvnTextureViewSetTarget 0x7102517220
ptr_nvnTextureViewGetLevels 0x7102517228
ptr_nvnTextureViewGetLayers 0x7102517230
ptr_nvnTextureViewGetFormat 0x7102517238
ptr_nvnTextureViewGetSwizzle 0x7102517240
ptr_nvnTextureViewGetDepthStencilMode 0x7102517248
ptr_nvnTextureViewGetTarget 0x7102517250
ptr_nvnTextureViewCompare 0x7102517258
ptr_nvnTextureInitialize 0x7102517260
ptr_nvnTextureGetZCullStorageSize 0x7102517268
ptr_nvnTextureFinalize 0x7102517270
ptr_nvnTextureSetDebugLabel 0x7102517278
ptr_nvnTextureGetStorageClass 0x7102517280
ptr_nvnTextureGetViewOffset 0x7102517288
ptr_nvnTextureGetFlags 0x7102517290
ptr_nvnTextureGetTarget 0x7102517298
ptr_nvnTextureGetWidth 0x71025172a0
ptr_nvnTextureGetHeight 0x71025172a8
ptr_nvnTextureGetDepth 0x71025172b0
ptr_nvnTextureGetLevels 0x71025172b8
ptr_nvnTextureGetFormat 0x71025172c0
ptr_nvnTextureGetSamples 0x71025172c8
ptr_nvnTextureGetSwizzle 0x71025172d0
ptr_nvnTextureGetDepthStencilMode 0x71025172d8
ptr_nvnTextureGetStride 0x71025172e0
ptr_nvnTextureGetTextureAddress 0x71025172e8
ptr_nvnTextureGetSparseTileLayout 0x71025172f0
ptr_nvnTextureWriteTexels 0x71025172f8
ptr_nvnTextureWriteTexelsStrided 0x7102517300
ptr_nvnTextureReadTexels 0x7102517308
ptr_nvnTextureReadTexelsStrided 0x7102517310
ptr_nvnTextureFlushTexels 0x7102517318
ptr_nvnTextureInvalidateTexels 0x7102517320
ptr_nvnTextureGetMemoryPool 0x7102517328
