ptr_nvnDeviceBuilderSetDefaults 0x7104c7ed38
ptr_nvnDeviceBuilderSetFlags 0x7104c7ed40
ptr_nvnDeviceBuilderGetFlags 0x7104c7ed48
ptr_nvnDeviceInitialize 0x7104c7ed50
ptr_nvnDeviceFinalize 0x7104c7ed58
ptr_nvnDeviceSetDebugLabel 0x7104c7ed60
ptr_nvnDeviceGetProcAddress 0x7104c7ed68
ptr_nvnDeviceGetInteger 0x7104c7ed70
ptr_nvnDeviceGetCurrentTimestampInNanoseconds 0x7104c7ed78
ptr_nvnDeviceSetIntermediateShaderCache 0x7104c7ed80
ptr_nvnDeviceGetTextureHandle 0x7104c7ed88
ptr_nvnDeviceGetTexelFetchHandle 0x7104c7ed90
ptr_nvnDeviceGetImageHandle 0x7104c7ed98
ptr_nvnDeviceInstallDebugCallback 0x7104c7eda0
ptr_nvnDeviceGenerateDebugDomainId 0x7104c7eda8
ptr_nvnDeviceSetWindowOriginMode 0x7104c7edb0
ptr_nvnDeviceSetDepthMode 0x7104c7edb8
ptr_nvnDeviceRegisterFastClearColor 0x7104c7edc0
ptr_nvnDeviceRegisterFastClearColori 0x7104c7edc8
ptr_nvnDeviceRegisterFastClearColorui 0x7104c7edd0
ptr_nvnDeviceRegisterFastClearDepth 0x7104c7edd8
ptr_nvnDeviceGetWindowOriginMode 0x7104c7ede0
ptr_nvnDeviceGetDepthMode 0x7104c7ede8
ptr_nvnDeviceGetTimestampInNanoseconds 0x7104c7edf0
ptr_nvnDeviceApplyDeferredFinalizes 0x7104c7edf8
ptr_nvnDeviceFinalizeCommandHandle 0x7104c7ee00
ptr_nvnDeviceWalkDebugDatabase 0x7104c7ee08
ptr_nvnDeviceGetSeparateTextureHandle 0x7104c7ee10
ptr_nvnDeviceGetSeparateSamplerHandle 0x7104c7ee18
ptr_nvnDeviceIsExternalDebuggerAttached 0x7104c7ee20
ptr_nvnQueueGetError 0x7104c7ee28
ptr_nvnQueueGetTotalCommandMemoryUsed 0x7104c7ee30
ptr_nvnQueueGetTotalControlMemoryUsed 0x7104c7ee38
ptr_nvnQueueGetTotalComputeMemoryUsed 0x7104c7ee40
ptr_nvnQueueResetMemoryUsageCounts 0x7104c7ee48
ptr_nvnQueueBuilderSetDevice 0x7104c7ee50
ptr_nvnQueueBuilderSetDefaults 0x7104c7ee58
ptr_nvnQueueBuilderSetFlags 0x7104c7ee60
ptr_nvnQueueBuilderSetCommandMemorySize 0x7104c7ee68
ptr_nvnQueueBuilderSetComputeMemorySize 0x7104c7ee70
ptr_nvnQueueBuilderSetControlMemorySize 0x7104c7ee78
ptr_nvnQueueBuilderGetQueueMemorySize 0x7104c7ee80
ptr_nvnQueueBuilderSetQueueMemory 0x7104c7ee88
ptr_nvnQueueBuilderSetCommandFlushThreshold 0x7104c7ee90
ptr_nvnQueueBuilderSetQueuePriority 0x7104c7ee98
ptr_nvnQueueBuilderGetQueuePriority 0x7104c7eea0
ptr_nvnQueueBuilderGetDevice 0x7104c7eea8
ptr_nvnQueueBuilderGetFlags 0x7104c7eeb0
ptr_nvnQueueBuilderGetCommandMemorySize 0x7104c7eeb8
ptr_nvnQueueBuilderGetComputeMemorySize 0x7104c7eec0
ptr_nvnQueueBuilderGetControlMemorySize 0x7104c7eec8
ptr_nvnQueueBuilderGetCommandFlushThreshold 0x7104c7eed0
ptr_nvnQueueBuilderGetMemorySize 0x7104c7eed8
