ptr_nvnDeviceBuilderSetDefaults 0x7102d2ee50
ptr_nvnDeviceBuilderSetFlags 0x7102d2ee58
ptr_nvnDeviceBuilderGetFlags 0x7102d2ee60
ptr_nvnDeviceInitialize 0x7102d2ee68
ptr_nvnDeviceFinalize 0x7102d2ee70
ptr_nvnDeviceSetDebugLabel 0x7102d2ee78
ptr_nvnDeviceGetProcAddress 0x7102d2ee80
ptr_nvnDeviceGetInteger 0x7102d2ee88
ptr_nvnDeviceGetCurrentTimestampInNanoseconds 0x7102d2ee90
ptr_nvnDeviceSetIntermediateShaderCache 0x7102d2ee98
ptr_nvnDeviceGetTextureHandle 0x7102d2eea0
ptr_nvnDeviceGetTexelFetchHandle 0x7102d2eea8
ptr_nvnDeviceGetImageHandle 0x7102d2eeb0
ptr_nvnDeviceInstallDebugCallback 0x7102d2eeb8
ptr_nvnDeviceGenerateDebugDomainId 0x7102d2eec0
ptr_nvnDeviceSetWindowOriginMode 0x7102d2eec8
ptr_nvnDeviceSetDepthMode 0x7102d2eed0
ptr_nvnDeviceRegisterFastClearColor 0x7102d2eed8
ptr_nvnDeviceRegisterFastClearColori 0x7102d2eee0
ptr_nvnDeviceRegisterFastClearColorui 0x7102d2eee8
ptr_nvnDeviceRegisterFastClearDepth 0x7102d2eef0
ptr_nvnDeviceGetWindowOriginMode 0x7102d2eef8
ptr_nvnDeviceGetDepthMode 0x7102d2ef00
ptr_nvnDeviceGetTimestampInNanoseconds 0x7102d2ef08
ptr_nvnDeviceApplyDeferredFinalizes 0x7102d2ef10
ptr_nvnDeviceFinalizeCommandHandle 0x7102d2ef18
ptr_nvnDeviceWalkDebugDatabase 0x7102d2ef20
ptr_nvnDeviceGetSeparateTextureHandle 0x7102d2ef28
ptr_nvnDeviceGetSeparateSamplerHandle 0x7102d2ef30
ptr_nvnDeviceIsExternalDebuggerAttached 0x7102d2ef38
ptr_nvnQueueGetError 0x7102d2ef40
ptr_nvnQueueGetTotalCommandMemoryUsed 0x7102d2ef48
ptr_nvnQueueGetTotalControlMemoryUsed 0x7102d2ef50
ptr_nvnQueueGetTotalComputeMemoryUsed 0x7102d2ef58
ptr_nvnQueueResetMemoryUsageCounts 0x7102d2ef60
ptr_nvnQueueBuilderSetDevice 0x7102d2ef68
ptr_nvnQueueBuilderSetDefaults 0x7102d2ef70
ptr_nvnQueueBuilderSetFlags 0x7102d2ef78
ptr_nvnQueueBuilderSetCommandMemorySize 0x7102d2ef80
ptr_nvnQueueBuilderSetComputeMemorySize 0x7102d2ef88
ptr_nvnQueueBuilderSetControlMemorySize 0x7102d2ef90
ptr_nvnQueueBuilderGetQueueMemorySize 0x7102d2ef98
ptr_nvnQueueBuilderSetQueueMemory 0x7102d2efa0
ptr_nvnQueueBuilderSetCommandFlushThreshold 0x7102d2efa8
ptr_nvnQueueBuilderSetQueuePriority 0x7102d2efb0
ptr_nvnQueueBuilderGetQueuePriority 0x7102d2efb8
ptr_nvnQueueBuilderGetDevice 0x7102d2efc0
ptr_nvnQueueBuilderGetFlags 0x7102d2efc8
