ptr_nvnDeviceBuilderSetDefaults 0x7101c31430
ptr_nvnDeviceBuilderSetFlags 0x7101c31438
ptr_nvnDeviceBuilderGetFlags 0x7101c31440
ptr_nvnDeviceInitialize 0x7101c31448
ptr_nvnDeviceFinalize 0x7101c31450
ptr_nvnDeviceSetDebugLabel 0x7101c31458
ptr_nvnDeviceGetProcAddress 0x7101c31460
ptr_nvnDeviceGetInteger 0x7101c31428
ptr_nvnDeviceGetCurrentTimestampInNanoseconds 0x7101c31468
ptr_nvnDeviceSetIntermediateShaderCache 0x7101c31470
ptr_nvnDeviceGetTextureHandle 0x7101c31478
ptr_nvnDeviceGetTexelFetchHandle 0x7101c31480
ptr_nvnDeviceGetImageHandle 0x7101c31488
ptr_nvnDeviceInstallDebugCallback 0x7101c31490
ptr_nvnDeviceGenerateDebugDomainId 0x7101c31498
ptr_nvnDeviceSetWindowOriginMode 0x7101c314a0
ptr_nvnDeviceSetDepthMode 0x7101c314a8
ptr_nvnDeviceRegisterFastClearColor 0x7101c314b0
ptr_nvnDeviceRegisterFastClearColori 0x7101c314b8
ptr_nvnDeviceRegisterFastClearColorui 0x7101c314c0
ptr_nvnDeviceRegisterFastClearDepth 0x7101c314c8
ptr_nvnDeviceGetWindowOriginMode 0x7101c314d0
ptr_nvnDeviceGetDepthMode 0x7101c314d8
ptr_nvnDeviceGetTimestampInNanoseconds 0x7101c314e0
ptr_nvnDeviceApplyDeferredFinalizes 0x7101c314e8
ptr_nvnDeviceFinalizeCommandHandle 0x7101c314f0
ptr_nvnDeviceWalkDebugDatabase 0x7101c314f8
ptr_nvnDeviceGetSeparateTextureHandle 0x7101c31500
ptr_nvnDeviceGetSeparateSamplerHandle 0x7101c31508
ptr_nvnDeviceIsExternalDebuggerAttached 0x7101c31510
ptr_nvnQueueGetError 0x7101c31518
ptr_nvnQueueGetTotalCommandMemoryUsed 0x7101c31520
ptr_nvnQueueGetTotalControlMemoryUsed 0x7101c31528
ptr_nvnQueueGetTotalComputeMemoryUsed 0x7101c31530
ptr_nvnQueueResetMemoryUsageCounts 0x7101c31538
