ptr_nvnDeviceBuilderSetDefaults 0x7101de8130
ptr_nvnDeviceBuilderSetFlags 0x7101de8138
ptr_nvnDeviceBuilderGetFlags 0x7101de8140
ptr_nvnDeviceInitialize 0x7101de8148
ptr_nvnDeviceFinalize 0x7101de8150
ptr_nvnDeviceSetDebugLabel 0x7101de8158
ptr_nvnDeviceGetProcAddress 0x7101de8160
ptr_nvnDeviceGetInteger 0x7101de8168
ptr_nvnDeviceGetCurrentTimestampInNanoseconds 0x7101de8170
ptr_nvnDeviceSetIntermediateShaderCache 0x7101de8178
ptr_nvnDeviceGetTextureHandle 0x7101de8180
ptr_nvnDeviceGetTexelFetchHandle 0x7101de8188
ptr_nvnDeviceGetImageHandle 0x7101de8190
ptr_nvnDeviceInstallDebugCallback 0x7101de8198
ptr_nvnDeviceGenerateDebugDomainId 0x7101de81a0
ptr_nvnDeviceSetWindowOriginMode 0x7101de81a8
ptr_nvnDeviceSetDepthMode 0x7101de81b0
ptr_nvnDeviceRegisterFastClearColor 0x7101de81b8
ptr_nvnDeviceRegisterFastClearColori 0x7101de81c0
ptr_nvnDeviceRegisterFastClearColorui 0x7101de81c8
ptr_nvnDeviceRegisterFastClearDepth 0x7101de81d0
ptr_nvnDeviceGetWindowOriginMode 0x7101de81d8
ptr_nvnDeviceGetDepthMode 0x7101de81e0
ptr_nvnDeviceGetTimestampInNanoseconds 0x7101de81e8
ptr_nvnDeviceApplyDeferredFinalizes 0x7101de81f0
ptr_nvnDeviceFinalizeCommandHandle 0x7101de81f8
ptr_nvnDeviceWalkDebugDatabase 0x7101de8200
ptr_nvnDeviceGetSeparateTextureHandle 0x7101de8208
ptr_nvnDeviceGetSeparateSamplerHandle 0x7101de8210
ptr_nvnDeviceIsExternalDebuggerAttached 0x7101de8218
ptr_nvnQueueGetError 0x7101de8220
ptr_nvnQueueGetTotalCommandMemoryUsed 0x7101de8228
ptr_nvnQueueGetTotalControlMemoryUsed 0x7101de8230
ptr_nvnQueueGetTotalComputeMemoryUsed 0x7101de8238
ptr_nvnQueueResetMemoryUsageCounts 0x7101de8240
ptr_nvnQueueBuilderSetDevice 0x7101de8248
ptr_nvnQueueBuilderSetDefaults 0x7101de8250
ptr_nvnQueueBuilderSetFlags 0x7101de8258
ptr_nvnQueueBuilderSetCommandMemorySize 0x7101de8260
ptr_nvnQueueBuilderSetComputeMemorySize 0x7101de8268
ptr_nvnQueueBuilderSetControlMemorySize 0x7101de8270
ptr_nvnQueueBuilderGetQueueMemorySize 0x7101de8278
ptr_nvnQueueBuilderSetQueueMemory 0x7101de8280
ptr_nvnQueueBuilderSetCommandFlushThreshold 0x7101de8288
ptr_nvnQueueBuilderSetQueuePriority 0x7101de8290
ptr_nvnQueueBuilderGetQueuePriority 0x7101de8298
ptr_nvnQueueBuilderGetDevice 0x7101de82a0
ptr_nvnQueueBuilderGetFlags 0x7101de82a8
ptr_nvnQueueBuilderGetCommandMemorySize 0x7101de82b0
ptr_nvnQueueBuilderGetComputeMemorySize 0x7101de82b8
ptr_nvnQueueBuilderGetControlMemorySize 0x7101de82c0
ptr_nvnQueueBuilderGetCommandFlushThreshold 0x7101de82c8
ptr_nvnQueueBuilderGetMemorySize 0x7101de82d0
ptr_nvnQueueBuilderGetMemory 0x7101de82d8
ptr_nvnQueueInitialize 0x7101de82e0
ptr_nvnQueueFinalize 0x7101de82e8
ptr_nvnQueueSetDebugLabel 0x7101de82f0
ptr_nvnQueueSubmitCommands 0x7101de82f8
ptr_nvnQueueFlush 0x7101de8300
ptr_nvnQueueFinish 0x7101de8308
ptr_nvnQueuePresentTexture 0x7101de8310
ptr_nvnQueueAcquireTexture 0x7101de8318
ptr_nvnWindowBuilderSetDevice 0x7101de8320
ptr_nvnWindowBuilderSetDefaults 0x7101de8328
ptr_nvnWindowBuilderSetNativeWindow 0x7101de8330
ptr_nvnWindowBuilderSetTextures 0x7101de8338
ptr_nvnWindowBuilderSetPresentInterval 0x7101de8340
ptr_nvnWindowBuilderSetNumActiveTextures 0x7101de8348
ptr_nvnWindowBuilderGetDevice 0x7101de8350
ptr_nvnWindowBuilderGetNumTextures 0x7101de8358
ptr_nvnWindowBuilderGetTexture 0x7101de8360
ptr_nvnWindowBuilderGetNativeWindow 0x7101de8368
ptr_nvnWindowBuilderGetPresentInterval 0x7101de8370
ptr_nvnWindowBuilderGetNumActiveTextures 0x7101de8378
ptr_nvnWindowInitialize 0x7101de8380
ptr_nvnWindowFinalize 0x7101de8388
ptr_nvnWindowSetDebugLabel 0x7101de8390
ptr_nvnWindowAcquireTexture 0x7101de8398
ptr_nvnWindowGetNativeWindow 0x7101de83a0
ptr_nvnWindowGetPresentInterval 0x7101de83a8
ptr_nvnWindowSetPresentInterval 0x7101de83b0
ptr_nvnWindowSetCrop 0x7101de83b8
ptr_nvnWindowGetCrop 0x7101de83c0
ptr_nvnWindowSetNumActiveTextures 0x7101de83c8
ptr_nvnWindowGetNumActiveTextures 0x7101de83d0
ptr_nvnWindowGetNumTextures 0x7101de83d8
ptr_nvnProgramInitialize 0x7101de83e0
ptr_nvnProgramFinalize 0x7101de83e8
ptr_nvnProgramSetDebugLabel 0x7101de83f0
ptr_nvnProgramSetShaders 0x7101de83f8
ptr_nvnProgramSetShadersExt 0x7101de8400
ptr_nvnProgramSetSampleShading 0x7101de8408
ptr_nvnMemoryPoolBuilderSetDevice 0x7101de8410
ptr_nvnMemoryPoolBuilderSetDefaults 0x7101de8418
ptr_nvnMemoryPoolBuilderSetStorage 0x7101de8420
ptr_nvnMemoryPoolBuilderSetFlags 0x7101de8428
ptr_nvnMemoryPoolBuilderGetDevice 0x7101de8430
ptr_nvnMemoryPoolBuilderGetMemory 0x7101de8438
ptr_nvnMemoryPoolBuilderGetSize 0x7101de8440
ptr_nvnMemoryPoolBuilderGetFlags 0x7101de8448
ptr_nvnMemoryPoolInitialize 0x7101de8450
ptr_nvnMemoryPoolSetDebugLabel 0x7101de8458
ptr_nvnMemoryPoolFinalize 0x7101de8460
ptr_nvnMemoryPoolMap 0x7101de8468
ptr_nvnMemoryPoolFlushMappedRange 0x7101de8470
ptr_nvnMemoryPoolInvalidateMappedRange 0x7101de8478
ptr_nvnMemoryPoolGetBufferAddress 0x7101de8480
ptr_nvnMemoryPoolMapVirtual 0x7101de8488
ptr_nvnMemoryPoolGetSize 0x7101de8490
ptr_nvnMemoryPoolGetFlags 0x7101de8498
ptr_nvnTexturePoolInitialize 0x7101de84a0
ptr_nvnTexturePoolSetDebugLabel 0x7101de84a8
ptr_nvnTexturePoolFinalize 0x7101de84b0
ptr_nvnTexturePoolRegisterTexture 0x7101de84b8
ptr_nvnTexturePoolRegisterImage 0x7101de84c0
ptr_nvnTexturePoolGetMemoryPool 0x7101de84c8
ptr_nvnTexturePoolGetMemoryOffset 0x7101de84d0
ptr_nvnTexturePoolGetSize 0x7101de84d8
ptr_nvnSamplerPoolInitialize 0x7101de84e0
ptr_nvnSamplerPoolSetDebugLabel 0x7101de84e8
ptr_nvnSamplerPoolFinalize 0x7101de84f0
ptr_nvnSamplerPoolRegisterSampler 0x7101de84f8
ptr_nvnSamplerPoolRegisterSamplerBuilder 0x7101de8500
ptr_nvnSamplerPoolGetMemoryPool 0x7101de8508
