ptr_nvnDeviceBuilderSetDefaults 0x617209d4
ptr_nvnDeviceBuilderSetFlags 0x617209d8
ptr_nvnDeviceBuilderGetFlags 0x617209dc
ptr_nvnDeviceInitialize 0x617209e0
ptr_nvnDeviceFinalize 0x617209e4
ptr_nvnDeviceSetDebugLabel 0x617209e8
ptr_nvnDeviceGetProcAddress 0x617209ec
ptr_nvnDeviceGetInteger 0x617209f0
ptr_nvnDeviceGetCurrentTimestampInNanoseconds 0x617209f4
ptr_nvnDeviceSetIntermediateShaderCache 0x617209f8
ptr_nvnDeviceGetTextureHandle 0x617209fc
ptr_nvnDeviceGetTexelFetchHandle 0x61720a00
ptr_nvnDeviceGetImageHandle 0x61720a04
ptr_nvnDeviceInstallDebugCallback 0x61720a08
ptr_nvnDeviceGenerateDebugDomainId 0x61720a0c
ptr_nvnDeviceSetWindowOriginMode 0x61720a10
ptr_nvnDeviceSetDepthMode 0x61720a14
ptr_nvnDeviceRegisterFastClearColor 0x61720a18
ptr_nvnDeviceRegisterFastClearColori 0x61720a1c
ptr_nvnDeviceRegisterFastClearColorui 0x61720a20
ptr_nvnDeviceRegisterFastClearDepth 0x61720a24
ptr_nvnDeviceGetWindowOriginMode 0x61720a28
ptr_nvnDeviceGetDepthMode 0x61720a2c
ptr_nvnDeviceGetTimestampInNanoseconds 0x61720a30
ptr_nvnDeviceApplyDeferredFinalizes 0x61720a34
ptr_nvnDeviceFinalizeCommandHandle 0x61720a38
ptr_nvnDeviceWalkDebugDatabase 0x61720a3c
ptr_nvnDeviceGetSeparateTextureHandle 0x61720a40
ptr_nvnDeviceGetSeparateSamplerHandle 0x61720a44
ptr_nvnDeviceIsExternalDebuggerAttached 0x61720a48
ptr_nvnQueueGetError 0x61720a4c
ptr_nvnQueueGetTotalCommandMemoryUsed 0x61720a50
ptr_nvnQueueGetTotalControlMemoryUsed 0x61720a54
ptr_nvnQueueGetTotalComputeMemoryUsed 0x61720a58
ptr_nvnQueueResetMemoryUsageCounts 0x61720a5c
ptr_nvnQueueBuilderSetDevice 0x61720a60
ptr_nvnQueueBuilderSetDefaults 0x61720a64
ptr_nvnQueueBuilderSetFlags 0x61720a68
ptr_nvnQueueBuilderSetCommandMemorySize 0x61720a6c
ptr_nvnQueueBuilderSetComputeMemorySize 0x61720a70
ptr_nvnQueueBuilderSetControlMemorySize 0x61720a74
ptr_nvnQueueBuilderGetQueueMemorySize 0x61720a78
ptr_nvnQueueBuilderSetQueueMemory 0x61720a7c
ptr_nvnQueueBuilderSetCommandFlushThreshold 0x61720a80
ptr_nvnQueueBuilderSetQueuePriority 0x61720a84
ptr_nvnQueueBuilderGetQueuePriority 0x61720a88
ptr_nvnQueueBuilderGetDevice 0x61720a8c
ptr_nvnQueueBuilderGetFlags 0x61720a90
ptr_nvnQueueBuilderGetCommandMemorySize 0x61720a94
ptr_nvnQueueBuilderGetComputeMemorySize 0x61720a98
ptr_nvnQueueBuilderGetControlMemorySize 0x61720a9c
ptr_nvnQueueBuilderGetCommandFlushThreshold 0x61720aa0
ptr_nvnQueueBuilderGetMemorySize 0x61720aa4
ptr_nvnQueueBuilderGetMemory 0x61720aa8
ptr_nvnQueueInitialize 0x61720aac
ptr_nvnQueueFinalize 0x61720ab0
ptr_nvnQueueSetDebugLabel 0x61720ab4
ptr_nvnQueueSubmitCommands 0x61720ab8
ptr_nvnQueueFlush 0x61720abc
ptr_nvnQueueFinish 0x61720ac0
ptr_nvnQueuePresentTexture 0x61720ac4
ptr_nvnQueueAcquireTexture 0x61720ac8
ptr_nvnWindowBuilderSetDevice 0x61720acc
ptr_nvnWindowBuilderSetDefaults 0x61720ad0
ptr_nvnWindowBuilderSetNativeWindow 0x61720ad4
ptr_nvnWindowBuilderSetTextures 0x61720ad8
ptr_nvnWindowBuilderSetPresentInterval 0x61720adc
ptr_nvnWindowBuilderSetNumActiveTextures 0x61720ae0
ptr_nvnWindowBuilderGetDevice 0x61720ae4
ptr_nvnWindowBuilderGetNumTextures 0x61720ae8
ptr_nvnWindowBuilderGetTexture 0x61720aec
ptr_nvnWindowBuilderGetNativeWindow 0x61720af0
ptr_nvnWindowBuilderGetPresentInterval 0x61720af4
ptr_nvnWindowBuilderGetNumActiveTextures 0x61720af8
ptr_nvnWindowInitialize 0x61720afc
ptr_nvnWindowFinalize 0x61720b00
ptr_nvnWindowSetDebugLabel 0x61720b04
ptr_nvnWindowAcquireTexture 0x61720b08
ptr_nvnWindowGetNativeWindow 0x61720b0c
ptr_nvnWindowGetPresentInterval 0x61720b10
ptr_nvnWindowSetPresentInterval 0x61720b14
ptr_nvnWindowSetCrop 0x61720b18
ptr_nvnWindowGetCrop 0x61720b1c
ptr_nvnWindowSetNumActiveTextures 0x61720b20
ptr_nvnWindowGetNumActiveTextures 0x61720b24
ptr_nvnWindowGetNumTextures 0x61720b28
ptr_nvnProgramInitialize 0x61720b2c
ptr_nvnProgramFinalize 0x61720b30
ptr_nvnProgramSetDebugLabel 0x61720b34
ptr_nvnProgramSetShaders 0x61720b38
ptr_nvnProgramSetShadersExt 0x61720b3c
ptr_nvnProgramSetSampleShading 0x61720b40
ptr_nvnMemoryPoolBuilderSetDevice 0x61720b44
ptr_nvnMemoryPoolBuilderSetDefaults 0x61720b48
ptr_nvnMemoryPoolBuilderSetStorage 0x61720b4c
ptr_nvnMemoryPoolBuilderSetFlags 0x61720b50
ptr_nvnMemoryPoolBuilderGetDevice 0x61720b54
ptr_nvnMemoryPoolBuilderGetMemory 0x61720b58
ptr_nvnMemoryPoolBuilderGetSize 0x61720b5c
ptr_nvnMemoryPoolBuilderGetFlags 0x61720b60
ptr_nvnMemoryPoolInitialize 0x61720b64
ptr_nvnMemoryPoolSetDebugLabel 0x61720b68
ptr_nvnMemoryPoolFinalize 0x61720b6c
ptr_nvnMemoryPoolMap 0x61720b70
ptr_nvnMemoryPoolFlushMappedRange 0x61720b74
ptr_nvnMemoryPoolInvalidateMappedRange 0x61720b78
ptr_nvnMemoryPoolGetBufferAddress 0x61720b7c
ptr_nvnMemoryPoolMapVirtual 0x61720b80
ptr_nvnMemoryPoolGetSize 0x61720b84
ptr_nvnMemoryPoolGetFlags 0x61720b88
ptr_nvnTexturePoolInitialize 0x61720b8c
ptr_nvnTexturePoolSetDebugLabel 0x61720b90
ptr_nvnTexturePoolFinalize 0x61720b94
ptr_nvnTexturePoolRegisterTexture 0x61720b98
ptr_nvnTexturePoolRegisterImage 0x61720b9c
ptr_nvnTexturePoolGetMemoryPool 0x61720ba0
ptr_nvnTexturePoolGetMemoryOffset 0x61720ba4
ptr_nvnTexturePoolGetSize 0x61720ba8
ptr_nvnSamplerPoolInitialize 0x61720bac
ptr_nvnSamplerPoolSetDebugLabel 0x61720bb0
ptr_nvnSamplerPoolFinalize 0x61720bb4
ptr_nvnSamplerPoolRegisterSampler 0x61720bb8
ptr_nvnSamplerPoolRegisterSamplerBuilder 0x61720bbc
ptr_nvnSamplerPoolGetMemoryPool 0x61720bc0
ptr_nvnSamplerPoolGetMemoryOffset 0x61720bc4
ptr_nvnSamplerPoolGetSize 0x61720bc8
ptr_nvnBufferBuilderSetDevice 0x61720bcc
ptr_nvnBufferBuilderSetDefaults 0x61720bd0
ptr_nvnBufferBuilderSetStorage 0x61720bd4
ptr_nvnBufferBuilderGetDevice 0x61720bd8
ptr_nvnBufferBuilderGetMemoryPool 0x61720bdc
ptr_nvnBufferBuilderGetMemoryOffset 0x61720be0
ptr_nvnBufferBuilderGetSize 0x61720be4
ptr_nvnBufferInitialize 0x61720be8
ptr_nvnBufferSetDebugLabel 0x61720bec
ptr_nvnBufferFinalize 0x61720bf0
ptr_nvnBufferMap 0x61720bf4
ptr_nvnBufferGetAddress 0x61720bf8
ptr_nvnBufferFlushMappedRange 0x61720bfc
ptr_nvnBufferInvalidateMappedRange 0x61720c00
ptr_nvnBufferGetMemoryPool 0x61720c04
ptr_nvnBufferGetMemoryOffset 0x61720c08
ptr_nvnBufferGetSize 0x61720c0c
ptr_nvnBufferGetDebugID 0x61720c10
ptr_nvnTextureBuilderSetDevice 0x61720c14
ptr_nvnTextureBuilderSetDefaults 0x61720c18
ptr_nvnTextureBuilderSetFlags 0x61720c1c
ptr_nvnTextureBuilderSetTarget 0x61720c20
ptr_nvnTextureBuilderSetWidth 0x61720c24
ptr_nvnTextureBuilderSetHeight 0x61720c28
ptr_nvnTextureBuilderSetDepth 0x61720c2c
ptr_nvnTextureBuilderSetSize1D 0x61720c30
ptr_nvnTextureBuilderSetSize2D 0x61720c34
ptr_nvnTextureBuilderSetSize3D 0x61720c38
ptr_nvnTextureBuilderSetLevels 0x61720c3c
ptr_nvnTextureBuilderSetFormat 0x61720c40
ptr_nvnTextureBuilderSetSamples 0x61720c44
ptr_nvnTextureBuilderSetSwizzle 0x61720c48
ptr_nvnTextureBuilderSetDepthStencilMode 0x61720c4c
ptr_nvnTextureBuilderGetStorageSize 0x61720c50
ptr_nvnTextureBuilderGetStorageAlignment 0x61720c54
ptr_nvnTextureBuilderSetStorage 0x61720c58
ptr_nvnTextureBuilderSetPackagedTextureData 0x61720c5c
ptr_nvnTextureBuilderSetPackagedTextureLayout 0x61720c60
ptr_nvnTextureBuilderSetStride 0x61720c64
ptr_nvnTextureBuilderSetGLTextureName 0x61720c68
ptr_nvnTextureBuilderGetStorageClass 0x61720c6c
ptr_nvnTextureBuilderGetDevice 0x61720c70
ptr_nvnTextureBuilderGetFlags 0x61720c74
ptr_nvnTextureBuilderGetTarget 0x61720c78
ptr_nvnTextureBuilderGetWidth 0x61720c7c
ptr_nvnTextureBuilderGetHeight 0x61720c80
ptr_nvnTextureBuilderGetDepth 0x61720c84
ptr_nvnTextureBuilderGetLevels 0x61720c88
ptr_nvnTextureBuilderGetFormat 0x61720c8c
ptr_nvnTextureBuilderGetSamples 0x61720c90
ptr_nvnTextureBuilderGetSwizzle 0x61720c94
ptr_nvnTextureBuilderGetDepthStencilMode 0x61720c98
ptr_nvnTextureBuilderGetPackagedTextureData 0x61720c9c
ptr_nvnTextureBuilderGetPackagedTextureLayout 0x61720ca0
ptr_nvnTextureBuilderGetStride 0x61720ca4
ptr_nvnTextureBuilderGetSparseTileLayout 0x61720ca8
ptr_nvnTextureBuilderGetGLTextureName 0x61720cac
ptr_nvnTextureBuilderGetZCullStorageSize 0x61720cb0
ptr_nvnTextureBuilderGetMemoryPool 0x61720cb4
ptr_nvnTextureBuilderGetMemoryOffset 0x61720cb8
ptr_nvnTextureBuilderGetRawStorageClass 0x61720cbc
ptr_nvnTextureViewSetDefaults 0x61720cc0
ptr_nvnTextureViewSetLevels 0x61720cc4
ptr_nvnTextureViewSetLayers 0x61720cc8
ptr_nvnTextureViewSetFormat 0x61720ccc
ptr_nvnTextureViewSetSwizzle 0x61720cd0
ptr_nvnTextureViewSetDepthStencilMode 0x61720cd4
ptr_nvnTextureViewSetTarget 0x61720cd8
ptr_nvnTextureViewGetLevels 0x61720cdc
ptr_nvnTextureViewGetLayers 0x61720ce0
ptr_nvnTextureViewGetFormat 0x61720ce4
ptr_nvnTextureViewGetSwizzle 0x61720ce8
ptr_nvnTextureViewGetDepthStencilMode 0x61720cec
ptr_nvnTextureViewGetTarget 0x61720cf0
ptr_nvnTextureViewCompare 0x61720cf4
ptr_nvnTextureInitialize 0x61720cf8
ptr_nvnTextureGetZCullStorageSize 0x61720cfc
ptr_nvnTextureFinalize 0x61720d00
ptr_nvnTextureSetDebugLabel 0x61720d04
ptr_nvnTextureGetStorageClass 0x61720d08
ptr_nvnTextureGetViewOffset 0x61720d0c
ptr_nvnTextureGetFlags 0x61720d10
ptr_nvnTextureGetTarget 0x61720d14
ptr_nvnTextureGetWidth 0x61720d18
ptr_nvnTextureGetHeight 0x61720d1c
ptr_nvnTextureGetDepth 0x61720d20
ptr_nvnTextureGetLevels 0x61720d24
ptr_nvnTextureGetFormat 0x61720d28
ptr_nvnTextureGetSamples 0x61720d2c
ptr_nvnTextureGetSwizzle 0x61720d30
ptr_nvnTextureGetDepthStencilMode 0x61720d34
ptr_nvnTextureGetStride 0x61720d38
ptr_nvnTextureGetTextureAddress 0x61720d3c
ptr_nvnTextureGetSparseTileLayout 0x61720d40
ptr_nvnTextureWriteTexels 0x61720d44
ptr_nvnTextureWriteTexelsStrided 0x61720d48
ptr_nvnTextureReadTexels 0x61720d4c
ptr_nvnTextureReadTexelsStrided 0x61720d50
ptr_nvnTextureFlushTexels 0x61720d54
ptr_nvnTextureInvalidateTexels 0x61720d58
ptr_nvnTextureGetMemoryPool 0x61720d5c
ptr_nvnTextureGetMemoryOffset 0x61720d60
ptr_nvnTextureGetStorageSize 0x61720d64
ptr_nvnTextureCompare 0x61720d68
ptr_nvnTextureGetDebugID 0x61720d6c
ptr_nvnTextureGetRawStorageClass 0x61720d70
ptr_nvnSamplerBuilderSetDevice 0x61720d74
ptr_nvnSamplerBuilderSetDefaults 0x61720d78
ptr_nvnSamplerBuilderSetMinMagFilter 0x61720d7c
ptr_nvnSamplerBuilderSetWrapMode 0x61720d80
ptr_nvnSamplerBuilderSetLodClamp 0x61720d84
ptr_nvnSamplerBuilderSetLodBias 0x61720d88
ptr_nvnSamplerBuilderSetCompare 0x61720d8c
ptr_nvnSamplerBuilderSetBorderColor 0x61720d90
ptr_nvnSamplerBuilderSetBorderColori 0x61720d94
ptr_nvnSamplerBuilderSetBorderColorui 0x61720d98
ptr_nvnSamplerBuilderSetMaxAnisotropy 0x61720d9c
ptr_nvnSamplerBuilderSetReductionFilter 0x61720da0
ptr_nvnSamplerBuilderSetLodSnap 0x61720da4
ptr_nvnSamplerBuilderGetDevice 0x61720da8
ptr_nvnSamplerBuilderGetMinMagFilter 0x61720dac
ptr_nvnSamplerBuilderGetWrapMode 0x61720db0
ptr_nvnSamplerBuilderGetLodClamp 0x61720db4
ptr_nvnSamplerBuilderGetLodBias 0x61720db8
ptr_nvnSamplerBuilderGetCompare 0x61720dbc
ptr_nvnSamplerBuilderGetBorderColor 0x61720dc0
ptr_nvnSamplerBuilderGetBorderColori 0x61720dc4
ptr_nvnSamplerBuilderGetBorderColorui 0x61720dc8
ptr_nvnSamplerBuilderGetMaxAnisotropy 0x61720dcc
ptr_nvnSamplerBuilderGetReductionFilter 0x61720dd0
ptr_nvnSamplerBuilderGetLodSnap 0x61720dd4
ptr_nvnSamplerInitialize 0x61720dd8
ptr_nvnSamplerFinalize 0x61720ddc
ptr_nvnSamplerSetDebugLabel 0x61720de0
ptr_nvnSamplerGetMinMagFilter 0x61720de4
ptr_nvnSamplerGetWrapMode 0x61720de8
ptr_nvnSamplerGetLodClamp 0x61720dec
ptr_nvnSamplerGetLodBias 0x61720df0
ptr_nvnSamplerGetCompare 0x61720df4
ptr_nvnSamplerGetBorderColor 0x61720df8
ptr_nvnSamplerGetBorderColori 0x61720dfc
ptr_nvnSamplerGetBorderColorui 0x61720e00
ptr_nvnSamplerGetMaxAnisotropy 0x61720e04
ptr_nvnSamplerGetReductionFilter 0x61720e08
ptr_nvnSamplerCompare 0x61720e0c
ptr_nvnSamplerGetDebugID 0x61720e10
ptr_nvnBlendStateSetDefaults 0x61720e14
ptr_nvnBlendStateSetBlendTarget 0x61720e18
ptr_nvnBlendStateSetBlendFunc 0x61720e1c
ptr_nvnBlendStateSetBlendEquation 0x61720e20
ptr_nvnBlendStateSetAdvancedMode 0x61720e24
ptr_nvnBlendStateSetAdvancedOverlap 0x61720e28
ptr_nvnBlendStateSetAdvancedPremultipliedSrc 0x61720e2c
ptr_nvnBlendStateSetAdvancedNormalizedDst 0x61720e30
ptr_nvnBlendStateGetBlendTarget 0x61720e34
ptr_nvnBlendStateGetBlendFunc 0x61720e38
ptr_nvnBlendStateGetBlendEquation 0x61720e3c
ptr_nvnBlendStateGetAdvancedMode 0x61720e40
ptr_nvnBlendStateGetAdvancedOverlap 0x61720e44
ptr_nvnBlendStateGetAdvancedPremultipliedSrc 0x61720e48
ptr_nvnBlendStateGetAdvancedNormalizedDst 0x61720e4c
ptr_nvnColorStateSetDefaults 0x61720e50
ptr_nvnColorStateSetBlendEnable 0x61720e54
ptr_nvnColorStateSetLogicOp 0x61720e58
ptr_nvnColorStateSetAlphaTest 0x61720e5c
ptr_nvnColorStateGetBlendEnable 0x61720e60
ptr_nvnColorStateGetLogicOp 0x61720e64
ptr_nvnColorStateGetAlphaTest 0x61720e68
ptr_nvnChannelMaskStateSetDefaults 0x61720e6c
ptr_nvnChannelMaskStateSetChannelMask 0x61720e70
ptr_nvnChannelMaskStateGetChannelMask 0x61720e74
ptr_nvnMultisampleStateSetDefaults 0x61720e78
ptr_nvnMultisampleStateSetMultisampleEnable 0x61720e7c
ptr_nvnMultisampleStateSetSamples 0x61720e80
ptr_nvnMultisampleStateSetAlphaToCoverageEnable 0x61720e84
ptr_nvnMultisampleStateSetAlphaToCoverageDither 0x61720e88
ptr_nvnMultisampleStateGetMultisampleEnable 0x61720e8c
ptr_nvnMultisampleStateGetSamples 0x61720e90
ptr_nvnMultisampleStateGetAlphaToCoverageEnable 0x61720e94
ptr_nvnMultisampleStateGetAlphaToCoverageDither 0x61720e98
ptr_nvnMultisampleStateSetRasterSamples 0x61720e9c
ptr_nvnMultisampleStateGetRasterSamples 0x61720ea0
ptr_nvnMultisampleStateSetCoverageModulationMode 0x61720ea4
ptr_nvnMultisampleStateGetCoverageModulationMode 0x61720ea8
ptr_nvnMultisampleStateSetCoverageToColorEnable 0x61720eac
ptr_nvnMultisampleStateGetCoverageToColorEnable 0x61720eb0
ptr_nvnMultisampleStateSetCoverageToColorOutput 0x61720eb4
ptr_nvnMultisampleStateGetCoverageToColorOutput 0x61720eb8
ptr_nvnMultisampleStateSetSampleLocationsEnable 0x61720ebc
ptr_nvnMultisampleStateGetSampleLocationsEnable 0x61720ec0
ptr_nvnMultisampleStateGetSampleLocationsGrid 0x61720ec4
ptr_nvnMultisampleStateSetSampleLocationsGridEnable 0x61720ec8
ptr_nvnMultisampleStateGetSampleLocationsGridEnable 0x61720ecc
ptr_nvnMultisampleStateSetSampleLocations 0x61720ed0
ptr_nvnPolygonStateSetDefaults 0x61720ed4
ptr_nvnPolygonStateSetCullFace 0x61720ed8
ptr_nvnPolygonStateSetFrontFace 0x61720edc
ptr_nvnPolygonStateSetPolygonMode 0x61720ee0
ptr_nvnPolygonStateSetPolygonOffsetEnables 0x61720ee4
ptr_nvnPolygonStateGetCullFace 0x61720ee8
ptr_nvnPolygonStateGetFrontFace 0x61720eec
ptr_nvnPolygonStateGetPolygonMode 0x61720ef0
ptr_nvnPolygonStateGetPolygonOffsetEnables 0x61720ef4
ptr_nvnDepthStencilStateSetDefaults 0x61720ef8
ptr_nvnDepthStencilStateSetDepthTestEnable 0x61720efc
ptr_nvnDepthStencilStateSetDepthWriteEnable 0x61720f00
ptr_nvnDepthStencilStateSetDepthFunc 0x61720f04
ptr_nvnDepthStencilStateSetStencilTestEnable 0x61720f08
ptr_nvnDepthStencilStateSetStencilFunc 0x61720f0c
ptr_nvnDepthStencilStateSetStencilOp 0x61720f10
ptr_nvnDepthStencilStateGetDepthTestEnable 0x61720f14
ptr_nvnDepthStencilStateGetDepthWriteEnable 0x61720f18
ptr_nvnDepthStencilStateGetDepthFunc 0x61720f1c
ptr_nvnDepthStencilStateGetStencilTestEnable 0x61720f20
ptr_nvnDepthStencilStateGetStencilFunc 0x61720f24
ptr_nvnDepthStencilStateGetStencilOp 0x61720f28
ptr_nvnVertexAttribStateSetDefaults 0x61720f2c
ptr_nvnVertexAttribStateSetFormat 0x61720f30
ptr_nvnVertexAttribStateSetStreamIndex 0x61720f34
ptr_nvnVertexAttribStateGetFormat 0x61720f38
ptr_nvnVertexAttribStateGetStreamIndex 0x61720f3c
ptr_nvnVertexStreamStateSetDefaults 0x61720f40
ptr_nvnVertexStreamStateSetStride 0x61720f44
ptr_nvnVertexStreamStateSetDivisor 0x61720f48
ptr_nvnVertexStreamStateGetStride 0x61720f4c
ptr_nvnVertexStreamStateGetDivisor 0x61720f50
ptr_nvnCommandBufferInitialize 0x61720f54
ptr_nvnCommandBufferFinalize 0x61720f58
ptr_nvnCommandBufferSetDebugLabel 0x61720f5c
ptr_nvnCommandBufferSetMemoryCallback 0x61720f60
ptr_nvnCommandBufferSetMemoryCallbackData 0x61720f64
ptr_nvnCommandBufferSetCommandMemoryCallbackEnabled 0x61720f68
ptr_nvnCommandBufferAddCommandMemory 0x61720f6c
ptr_nvnCommandBufferAddControlMemory 0x61720f70
ptr_nvnCommandBufferGetCommandMemorySize 0x61720f74
ptr_nvnCommandBufferGetCommandMemoryUsed 0x61720f78
ptr_nvnCommandBufferGetCommandMemoryFree 0x61720f7c
ptr_nvnCommandBufferGetControlMemorySize 0x61720f80
ptr_nvnCommandBufferGetControlMemoryUsed 0x61720f84
ptr_nvnCommandBufferGetControlMemoryFree 0x61720f88
ptr_nvnCommandBufferBeginRecording 0x61720f8c
ptr_nvnCommandBufferEndRecording 0x61720f90
ptr_nvnCommandBufferCallCommands 0x61720f94
ptr_nvnCommandBufferCopyCommands 0x61720f98
ptr_nvnCommandBufferBindBlendState 0x61720f9c
ptr_nvnCommandBufferBindChannelMaskState 0x61720fa0
ptr_nvnCommandBufferBindColorState 0x61720fa4
ptr_nvnCommandBufferBindMultisampleState 0x61720fa8
ptr_nvnCommandBufferBindPolygonState 0x61720fac
ptr_nvnCommandBufferBindDepthStencilState 0x61720fb0
ptr_nvnCommandBufferBindVertexAttribState 0x61720fb4
ptr_nvnCommandBufferBindVertexStreamState 0x61720fb8
ptr_nvnCommandBufferBindProgram 0x61720fbc
ptr_nvnCommandBufferBindVertexBuffer 0x61720fc0
ptr_nvnCommandBufferBindVertexBuffers 0x61720fc4
ptr_nvnCommandBufferBindUniformBuffer 0x61720fc8
ptr_nvnCommandBufferBindUniformBuffers 0x61720fcc
ptr_nvnCommandBufferBindTransformFeedbackBuffer 0x61720fd0
ptr_nvnCommandBufferBindTransformFeedbackBuffers 0x61720fd4
