ptr_nvnDeviceBuilderSetDefaults 0x7103bf10d8
ptr_nvnDeviceBuilderSetFlags 0x7103bf10e0
ptr_nvnDeviceBuilderGetFlags 0x7103bf10e8
ptr_nvnDeviceInitialize 0x7103bf10f0
ptr_nvnDeviceFinalize 0x7103bf10f8
ptr_nvnDeviceSetDebugLabel 0x7103bf1100
ptr_nvnDeviceGetProcAddress 0x7103bf1108
ptr_nvnDeviceGetInteger 0x7103bf1110
ptr_nvnDeviceGetCurrentTimestampInNanoseconds 0x7103bf1118
ptr_nvnDeviceSetIntermediateShaderCache 0x7103bf1120
ptr_nvnDeviceGetTextureHandle 0x7103bf1128
ptr_nvnDeviceGetTexelFetchHandle 0x7103bf1130
ptr_nvnDeviceGetImageHandle 0x7103bf1138
ptr_nvnDeviceInstallDebugCallback 0x7103bf1140
ptr_nvnDeviceGenerateDebugDomainId 0x7103bf1148
ptr_nvnDeviceSetWindowOriginMode 0x7103bf1150
ptr_nvnDeviceSetDepthMode 0x7103bf1158
ptr_nvnDeviceRegisterFastClearColor 0x7103bf1160
ptr_nvnDeviceRegisterFastClearColori 0x7103bf1168
ptr_nvnDeviceRegisterFastClearColorui 0x7103bf1170
ptr_nvnDeviceRegisterFastClearDepth 0x7103bf1178
ptr_nvnDeviceGetWindowOriginMode 0x7103bf1180
ptr_nvnDeviceGetDepthMode 0x7103bf1188
ptr_nvnDeviceGetTimestampInNanoseconds 0x7103bf1190
ptr_nvnDeviceApplyDeferredFinalizes 0x7103bf1198
ptr_nvnDeviceFinalizeCommandHandle 0x7103bf11a0
ptr_nvnDeviceWalkDebugDatabase 0x7103bf11a8
ptr_nvnDeviceGetSeparateTextureHandle 0x7103bf11b0
ptr_nvnDeviceGetSeparateSamplerHandle 0x7103bf11b8
ptr_nvnDeviceIsExternalDebuggerAttached 0x7103bf11c0
ptr_nvnQueueGetError 0x7103bf11c8
ptr_nvnQueueGetTotalCommandMemoryUsed 0x7103bf11d0
ptr_nvnQueueGetTotalControlMemoryUsed 0x7103bf11d8
ptr_nvnQueueGetTotalComputeMemoryUsed 0x7103bf11e0
ptr_nvnQueueResetMemoryUsageCounts 0x7103bf11e8
ptr_nvnQueueBuilderSetDevice 0x7103bf11f0
ptr_nvnQueueBuilderSetDefaults 0x7103bf11f8
ptr_nvnQueueBuilderSetFlags 0x7103bf1200
ptr_nvnQueueBuilderSetCommandMemorySize 0x7103bf1208
ptr_nvnQueueBuilderSetComputeMemorySize 0x7103bf1210
ptr_nvnQueueBuilderSetControlMemorySize 0x7103bf1218
ptr_nvnQueueBuilderGetQueueMemorySize 0x7103bf1220
ptr_nvnQueueBuilderSetQueueMemory 0x7103bf1228
ptr_nvnQueueBuilderSetCommandFlushThreshold 0x7103bf1230
ptr_nvnQueueBuilderSetQueuePriority 0x7103bf1238
ptr_nvnQueueBuilderGetQueuePriority 0x7103bf1240
ptr_nvnQueueBuilderGetDevice 0x7103bf1248
ptr_nvnQueueBuilderGetFlags 0x7103bf1250
ptr_nvnQueueBuilderGetCommandMemorySize 0x7103bf1258
ptr_nvnQueueBuilderGetComputeMemorySize 0x7103bf1260
ptr_nvnQueueBuilderGetControlMemorySize 0x7103bf1268
ptr_nvnQueueBuilderGetCommandFlushThreshold 0x7103bf1270
ptr_nvnQueueBuilderGetMemorySize 0x7103bf1278
